"dt_coleta", "confirmados"
"2020-03-20",	41
"2020-03-21",	12
"2020-03-22",	11
"2020-03-23",	102
"2020-03-24",	71
"2020-03-25",	50
"2020-03-26",	97
"2020-03-27",	106
"2020-03-28",	59
"2020-03-29",	40
"2020-03-30",	194
"2020-03-31",	155
"2020-04-01",	88
"2020-04-02",	178
"2020-04-03",	199
"2020-04-04",	92
"2020-04-05",	49
"2020-04-06",	307
"2020-04-07",	312
"2020-04-08",	242
"2020-04-09",	178
"2020-04-10",	265
"2020-04-11",	243
"2020-04-12",	285
"2020-04-13",	353
"2020-04-14",	507
"2020-04-15",	387
"2020-04-16",	458
"2020-04-17",	323
"2020-04-18",	144
"2020-04-19",	159
"2020-04-20",	517
"2020-04-21",	294
"2020-04-22",	242
"2020-04-23",	127
"2020-04-24",	530
"2020-04-25",	251
"2020-04-26",	172
"2020-04-27",	512
"2020-04-28",	198
"2020-04-29",	325
"2020-04-30",	430
"2020-05-01",	132
"2020-05-02",	392
"2020-05-03",	42
"2020-05-04	",59
"2020-05-05",	30
"2020-05-06",	34
"2020-05-07",	8
"2020-05-08",	6
